Meal,Servings,Calories,Protein,Fat,Carbs,RecipeName,Cuisine,ProteinSource,Notes,URL
Breakfast,4,346,12,13,44,Greek Yogurt Pancakes ,American,Greek yogurt,,https://www.lecremedelacrumb.com/greek-yogurt-pancakes
Breakfast,4,416,25,24,27,"Jalapeno, Pepper Jack, and Turkey Bacon Quiche",Mexican,Turkey bacon,Not spicy at all.,https://www.ambitiouskitchen.com/jalapeno-pepper-jack-turkey-bacon-quiche-potato-crust/
Breakfast,4,330,5,9,59,No Sugar Added Apple Pie Overnight Oats,American,None,,https://www.budgetbytes.com/2016/06/no-sugar-added-apple-pie-overnight-oats/
Breakfast,4,233,19,14,7,"Spinach, Mushroom, and Feta Crustless Quiche",Mediterranean,Eggs,,http://www.budgetbytes.com/2011/11/spinach-mushroom-feta-crustless-quiche/
Entrée,4,269,18,4,38,"Bacon, Onion, and Brown Lentil Skillet",Mediterranean,Bacon,,http://www.myrecipes.com/recipe/bacon-onion-brown-lentil-skillet
Entrée,4,128,9,5,13,Baked Eggplant Parmesan Stacks,Italian,Cheese,,http://www.homesweetjones.com/baked-eggplant-parmesan-stacks/
Entrée,4,303,32,12,34,Baked Shrimp Taquitos,Mexican,Shrimp,,http://www.skinnytaste.com/baked-shrimp-taquitos/
Entrée,4,421,27,28,22,Beef Burgers with Jerk Onions and Cucumber Avocado Salad,American,Ground beef,,http://eatdrinkpaleo.com.au/beef-burgers-with-jerk-onions-cucumber-avocado-salad/
Entrée,4,313,16,9,43,Black Bean Burger,American,Beans,needs a condiment,http://thepioneerwoman.com/cooking/black-bean-burger/
Entrée,4,316,7,17,34,Black Bean Fiesta Mason Jar Salad,Mexican,Beans,,https://www.eatingbirdfood.com/fiesta-mason-jar-salad/
Entrée,4,357,29,44,4,BLTA Pesto Chicken Salad,American,Chicken breast,,http://peaceloveandlowcarb.com/blta-pesto-chicken-salad-low-carb-gluten-free-paleo/
Entrée,4,359,15,14,42,Blue Cheese Polenta with Vegetables,American,Cheese,,http://www.myrecipes.com/recipe/blue-cheese-polenta-vegetables
Entrée,4,464,45,21,22,California Grilled Chicken,American,Chicken breast,Don't burn the chicken or it will be bad,https://www.delish.com/cooking/recipe-ideas/recipes/a53158/california-grilled-chicken-recipe/
Entrée,4,185,15,9,12,Cheese & Spinach Stuffed Portobellos,Italian,Cheese,Delicious!!!,http://www.eatingwell.com/recipes/cheese_spinach_stuffed_portobellos.html
Entrée,4,220,30,6,10,Chicken & Mushrooms in a Garlic White Wine Sauce,Italian,Chicken breast,,http://www.skinnytaste.com/chicken-and-mushrooms-in-garlic-white/
Entrée,4,429,31,11,51,Chicken Alfredo with Broccoli,Italian,Chicken breast,,https://gimmedelicious.com/2017/04/04/skinny-chicken-broccoli-alfredo/
Entrée,4,397,29,26,9,Chicken Club Avocado Boats,American,Chicken breast,,http://peaceloveandlowcarb.com/s-s-chicken-club-avocado-boats/
Entrée,4,386,24,15,39,Chicken Gyro Bowls,Mediterranean,Chicken breast,calculated without the pita,https://www.myrecipes.com/recipe/chicken-gyro-bowls
Entrée,4,418,30,14,48,Chicken Helper,Italian,Ground chicken,Easy way to use up leftover ground chicken,http://www.geniuskitchen.com/recipe/chicken-helper-406113
Entrée,4,468,23,26,25,Chicken Panang Curry Noodle Bowls,Asian,Chicken thigh,,http://littlespicejar.com/chicken-panang-curry-noodle-bowls/
Entrée,4,428,43,22,11,Chicken Rollatini with Spinach,Italian,Chicken breast,,http://www.skinnytaste.com/2011/04/chicken-rollatini-with-spinach-alla.html
Entrée,4,498,37,16,39,Chicken Tikka Masala,Indian,Chicken thigh,"Slow cooker, so delicious",http://www.thekitchn.com/recipe-slow-cooker-chicken-tikka-masala-recipes-from-the-kitchn-211284
Entrée,4,270,15,11,32,"Chicken, Feta Cheese, and Sun-Dried Tomato Wraps",Mediterranean,Chicken breast,,https://www.allrecipes.com/recipe/73649/chicken-feta-cheese-and-sun-dried-tomato-wraps/
Entrée,4,296,22,8,36,Chipotle Chicken Taco Salad,Mexican,Chicken breast,,http://www.myrecipes.com/recipe/chipotle-chicken-taco-salad
Entrée,4,365,17,26,14,Chorizo Stuffed Poblano Peppers,Mexican,Chorizo,They're small but packed with flavor,http://allrecipes.com/recipe/229885/chorizo-stuffed-poblano-peppers/
Entrée,4,429,16,19,47,Coconut Red Curry with Tofu,Asian,Tofu,,https://cooking.nytimes.com/recipes/1016196-coconut-red-curry-with-tofu
Entrée,4,286,31,16,6,Creamy Garlic Mushroom Chicken,American,Chicken breast,,https://www.budgetbytes.com/2017/01/creamy-garlic-mushroom-chicken/
Entrée,4,469,31,36,7,Crispy Chicken Thighs with Bacon and Wilted Escarole,Italian,Chicken thigh,,https://www.epicurious.com/recipes/food/views/crispy-chicken-thighs-with-bacon-and-wilted-escarole
Entrée,4,245,10,9,37,Curried Chickpeas with Spinach,Mediterranean,Chickpeas,"not spicy at all, could use a kick",http://www.budgetbytes.com/2013/12/curried-chickpeas-spinach/
Entrée,4,436,34,27,21,Easy Mustard Pork Tenderloin with Grilled Vegetables in Foil,American,Pork,,https://www.wellplated.com/mustard-pork-tenderloin-grilled-vegetables-in-foil/
Entrée,4,470,17,31,33,Eggplant and Tofu Curry,Indian,Tofu,,http://www.foodnetwork.com/recipes/food-network-kitchens/eggplant-and-tofu-curry-recipe.html
Entrée,4,181,2,13,14,Eggplant Bruschetta,Italian,Cheese,,http://peaceloveandlowcarb.com/eggplant-bruschetta-low-carb-paleo-gluten-free/
Entrée,4,339,37,16,14,Food Cart-Style Chicken Salad with White Sauce,Mediterranean,Chicken thigh,,https://www.skinnytaste.com/food-cart-style-chicken-salad-with-white-sauce/
Entrée,4,465,17,15,62,Fresh Tomato Basil Pasta with Ricotta,Italian,Cheese,,http://www.delish.com/cooking/recipe-ideas/recipes/a13225/geechigirl-crab-cakes-recipe-opr0910/
Entrée,4,364,28,25,6,Geechigirl Crab Cakes,Southern,Fish,Very savory.,http://www.delish.com/cooking/recipe-ideas/recipes/a13225/geechigirl-crab-cakes-recipe-opr0910/
Entrée,4,425,15,19,47,Harvest Roasted Vegetable Grain Bowl,American,Farro,,https://www.joyfulhealthyeats.com/harvest-roasted-vegetable-grain-bowl/
Entrée,4,218,22,10,11,Indonesian Chicken,Asian,Chicken wings,,http://www.laaloosh.com/2012/12/12/crock-pot-indonesian-chicken-recipe/
Entrée,4,473,33,24,30,Korean Style Ground Beef and Spinach Rice Bowls,Asian,Ground beef,,https://www.mashupmom.com/korean-style-ground-beef-and-spinach-rice-bowls/
Entrée,4,331,18,7,48,Lentil Dal with Hearty Greens,Indian,Lentils,,http://www.thekitchn.com/recipe-lentil-dal-with-hearty-greens-223147
Entrée,4,312,9,15,36,"Make-Ahead Mustardy Quinoa with Sausage, Potato, and Tarragon",American,"Sausage, quinoa",,https://www.seriouseats.com/recipes/2013/07/make-ahead-mustard-quinoa-sausage-potato-tarragon-recipe.html
Entrée,4,531,24,29,49,Mediterranean Hummus Bowls,Mediterranean,Ground beef,calculated with 3 cups of brown rice,https://www.budgetbytes.com/mediterranean-hummus-bowls/
Entrée,4,366,15,11,57,Mexican Casserole with Roasted Corn and Peppers,Mexican,Beans,,http://pinchofyum.com/healthy-mexican-casserole-roasted-corn-peppers
Entrée,4,293,21,16,18,No-Cook BLT Salad,American,Bacon,,https://www.cookinglight.com/food/recipe-finder/no-cook-blt-salad-recipe
Entrée,4,465,34,26,26,One Pan Cheesy Jalapeno Chicken,Mexican,Chicken breast,,https://www.thechunkychef.com/one-pan-cheesy-jalapeno-chicken/
Entrée,4,482,34,15,51,One Pot Creamy Cajun Chicken Pasta,Italian,Chicken breast,"Seriously, this is so good",https://www.budgetbytes.com/one-pot-creamy-cajun-chicken-pasta/
Entrée,4,371,21,11,49,One Pot Sausage and Sun Dried Tomato Pasta,Mediterranean,Sausage,,https://www.budgetbytes.com/2017/03/one-pot-sausage-sun-dried-tomato-pasta/
Entrée,4,329,29,8,35,One Pot Unstuffed Cabbage Rolls,European,Ground beef,,https://www.familyfreshmeals.com/2016/08/one-pot-unstuffed-cabbage-rolls.html
Entrée,4,544,24,17,74,Orange Tofu Chickpea Bowls,Asian,Tofu,lots of food,https://www.shelikesfood.com/orange-tofu-chickpea-bowls-meal-prep/
Entrée,4,267,3,12,11,Parmesan Garlic Spaghetti Squash,Italian,Cheese,,http://www.eatwell101.com/parmesan-garlic-spaghetti-squash-recipe#_a5y_p=5146411
Entrée,4,376,21,16,41,Peanutty Quinoa Bowls with Baked Tofu,Asian,Tofu,,https://ohmyveggies.com/recipe-peanutty-quinoa-bowls-two-make-baked-tofu/
Entrée,4,282,17,18,9,Philly Cheesesteak Stuffed Portobello Mushrooms,American,Beef,,http://www.skinnytaste.com/philly-cheesesteak-stuffed-portobello-mushrooms/
Entrée,4,420,31,17,39,Pork Chops and Couscous with Tomato-Caper Sauce,Mediterranean,Pork,,http://www.myrecipes.com/recipe/pork-chops-couscous-tomato-caper-sauce
Entrée,4,416,22,31,11,Pork Egg Roll in a Bowl,Asian,Pork,Hard to eat a lot of days in a row,http://peaceloveandlowcarb.com/pork-egg-roll-in-a-bowl-crack-slaw-paleo-low-carb-whole30/
Entrée,4,362,15,8,46,Pork with Caramelized Onion and Rosemary-Roasted Root Vegetables,American,Pork,,https://sunbasket.com/recipe/pork-loin-with-caramelized-onions-and-honey-glazed-root-vegetables
Entrée,4,314,13,9,50,Portobello Polenta Bowls,Mediterranean,Cheese,Very flexible recipe,http://www.budgetbytes.com/2014/03/portobello-polenta-bowls/
Entrée,4,205,12,7,31,Roasted Cauliflower and Chickpeas with Minted Yogurt,Mediterranean,Chickpeas,Minted yogurt is weird,http://www.skinnytaste.com/roasted-cauliflower-and-chickpeas-with/
Entrée,4,261,28,15,7,Roasted Garlic Chicken Salad,American,Chicken breast,,http://littlebitsof.com/2015/12/roasted-garlic-chicken-salad/
Entrée,4,381,21,18,20,Sauteed Cabbage and Kielbasa,European,Sausage,,https://www.saltandlavender.com/sauteed-cabbage-kielbasa/
Entrée,4,454,50,24,19,Sheet Pan Pork Chop Supper,American,Pork,,https://nomnompaleo.com/sheet-pan-pork-chop-supper
Entrée,4,206,20,14,1,Simple Baked Chicken Drumsticks,American,Chicken wings,,http://www.food.com/recipe/simple-baked-chicken-drumsticks-443758
Entrée,4,314,10,9,50,Simple Herb Mushroom Barley Salad,American,Barley,Barley is so good here!!!,http://www.cookingmaniac.com/simple-herb-mushroom-barley-salad/
Entrée,4,355,12,12,54,"Skillet Pasta with Sun Dried Tomatoes, Walnuts, and Feta",Mediterranean,Nuts,,https://www.budgetbytes.com/2017/05/skillet-pasta-sun-dried-tomatoes-walnuts-feta/
Entrée,4,272,28,5,31,Slow Cooker Mediterranean Chicken & Orzo,Italian,Chicken breast,,http://www.eatingwell.com/recipe/262157/slow-cooker-mediterranean-chicken-orzo/
Entrée,4,425,13,8,71,Slow Cooker Mushroom Barley Risotto,Italian,Barley,,http://www.foodnetwork.com/recipes/food-network-kitchen/slow-cooker-mushroom-barley-risotto-recipe-2112040
Entrée,4,336,35,17,13,Slow Cooker Peanut Butter Chicken,American,Chicken breast,,http://www.wholesomelicious.com/slow-cooker-peanut-butter-chicken/
Entrée,4,383,14,23,26,Slow Cooker Tofu Tikka Masala,Indian,Tofu,this tastes weird...,https://yupitsvegan.com/slow-cooker-tofu-tikka-masala/
Entrée,4,289,11,19,22,Spicy California Shrimp Stack,Asian,Shrimp,,http://www.skinnytaste.com/2015/10/spicy-california-shrimp-stack.html
Entrée,4,357,20,12,44,Spicy Fish Taco Bowls,Mexican,Fish,,https://www.jocooks.com/type/healthy-eating/spicy-fish-taco-bowls/
Entrée,4,314,17,12,36,Spicy Shrimp & Tomato Pasta,Italian,Shrimp,can add protein with cottage cheese,http://www.budgetbytes.com/2013/07/spicy-shrimp-tomato-pasta/
Entrée,4,302,13,13,59,Stewed Tofu with Corn and Tomatoes,American,Tofu,"really simple, delicious especially in the summer",http://www.vegkitchen.com/recipes/stewed-tofu-with-corn-and-tomatoes/
Entrée,4,321,26,10,34,Stir-Fried Chicken with Bok Choy,Asian,Chicken breast,,http://www.marthastewart.com/897967/stir-fried-chicken-bok-choy
Entrée,4,224,11,12,16,"Stir-Fried Tofu with Mushrooms, Sugar Snap Peas, and Green Onions",Asian,Tofu,,http://www.epicurious.com/recipes/food/views/stir-fried-tofu-with-mushrooms-sugar-snap-peas-and-green-onions-109075
Entrée,4,497,30,28,38,Stuffed Eggplant,Italian,Ground beef,,http://www.foodnetwork.com/recipes/michael-chiarello/moms-stuffed-eggplant-recipe.html
Entrée,4,382,21,11,60,"Stuffed Peppers with Corn, Black Beans, and Pepper Jack",Mexican,Beans,,http://www.delish.com/cooking/recipe-ideas/recipes/a43193/stuffed-peppers-corn-black-beans-pepperjack-recipe/
Entrée,4,519,16,25,58,Thai Red Curry with Vegetables,Asian,Tofu,,http://cookieandkate.com/2015/thai-red-curry-recipe/
Entrée,4,229,16,11,17,Tofu Parmigiana,Italian,Tofu,Hard to make it so the breading doesn't just fall off,http://www.eatingwell.com/recipes/tofu_parmigiana.html
Entrée,4,286,28,13,17,Turkey Meatball Stroganoff,European,Ground turkey,,http://www.skinnytaste.com/turkey-meatball-stroganoff-instant-pot-slow-cooker-or-stove-top/
Entrée,4,497,18,28,56,Vegan Buddha Bowl,American,Tofu,calculated without avocado,https://lovingitvegan.com/vegan-buddha-bowl/
Entrée,4,394,15,19,53,Whole-Grain Veggie Burrito Bowl,Mexican,Beans,,https://www.myrecipes.com/recipe/whole-grain-veggie-burrito-bowl
Protein,4,217,39,8,12,Baked Chicken Nuggets,American,Chicken breast,,http://www.skinnytaste.com/2011/04/healthy-baked-chicken-nuggets.html
Protein,4,109,14,18,2,Chicken Pesto Bake,Italian,Chicken breast,,http://www.skinnytaste.com/skinny-chicken-pesto-bake/
Protein,4,247,18,20,0,Crispy and Tender Baked Chicken Thighs,American,Chicken thigh,,http://allrecipes.com/recipe/235151/crispy-and-tender-baked-chicken-thighs/
Protein,4,293,29,6,33,Crispy Baked Chicken Breasts,American,Chicken breast,,https://aseasyasapplepie.com/crispy-baked-chicken-breasts/
Protein,4,394,29,16,40,Easy Oven Fajitas,Mexican,Chicken breast,,https://www.budgetbytes.com/2013/02/oven-fajitas/
Protein,4,336,35,17,13,Herb Roasted Chicken Breasts,American,Chicken breast,"definitely get the bone-in skin-on split breasts, or there's not really a point",https://www.budgetbytes.com/2017/01/herb-roasted-chicken-breasts/
Protein,4,179,13,12,6,Marinated Baked Tofu,Asian,Tofu,,http://www.food.com/recipe/marinated-baked-tofu-114102
Protein,4,207,22,12,4,Mozzarella Chicken in Tomato Sauce,Italian,Chicken breast,,https://cafedelites.com/mozzarella-chicken-in-tomato-sauce/
Protein,4,205,28,8,10,Shawarma-Spiced Grilled Chicken with Garlic Yogurt,Mediterranean,Chicken breast,,https://www.skinnytaste.com/shawarma-spiced-grilled-chicken-with-garlic-yogurt/
Protein,4,124,14,5,4,Skillet Steak with Onions and Mushrooms,American,Beef,,http://www.skinnytaste.com/quick-skillet-steak-with-onions-and/
Protein,4,202,13,3,35,Spicy Black Bean Burgers,Mexican,Beans,,http://www.skinnytaste.com/spicy-black-bean-burgers-with-chipotle/
Protein,4,220,40,2,5,Tomato Dijon Turkey Meatballs,Italian,Ground turkey,,http://peaceloveandlowcarb.com/tomato-dijon-turkey-meatballs/
Side,4,382,18,27,18,Almost Boston Market Creamed Spinach,Southern,None,One serving is very small,http://www.food.com/recipe/almost-boston-market-creamed-spinach-77206
Side,4,168,5,13,9,Bacon-wrapped Green Bean Bundles,American,Bacon,These are very tasty and have a lot of bacon flavor,http://www.skinnytaste.com/bacon-wrapped-green-bean-bundles/
Side,4,151,5,4,23,BLT Macaroni Salad,American,Bacon,tastes exactly like a BLT with mayo,http://www.skinnytaste.com/blt-macaroni-salad/
Side,4,130,1,9,11,Creamy Cucumber and Tomato Salad,Mediterranean,None,,https://natashaskitchen.com/2010/08/16/creamy-cucumber-and-tomato-salad/
Side,4,110,2,9,10,Cucumber Avocado Salad,American,None,,http://eatdrinkpaleo.com.au/beef-burgers-with-jerk-onions-cucumber-avocado-salad/
Side,4,188,4,12,19,Garlic Roasted Cabbage Wedges,American,None,,https://www.cookingclassy.com/garlic-roasted-cabbage-wedges/
Side,4,278,5,16,36,Grilled Corn and Poblano Salad,Mexican,None,,https://www.bonappetit.com/recipe/grilled-corn-and-poblano-chile-salad
Side,4,168,9,2,32,Pan-Toasted Sweet Corn with Wilted Chard and Black Beans,Southern,None,,http://www.wholefoodsmarket.com/recipe/pan-toasted-sweet-corn-wilted-chard-and-black-beans
Side,4,150,4,0,31,Pico de Gallo,Mexican,None,,http://www.foodnetwork.com/recipes/ree-drummond/pico-de-gallo-recipe-2122359
Side,4,122,2,9,10,Roasted Cabbage Wedges with Onion Dijon Sauce,American,None,Love roasted cabbage! And the sauce is good too.,http://anoregoncottage.com/roasted-cabbage-wedges-with-onion-dijon-sauce/2/
Side,4,173,10,11,10,Roasted Parmesan Broccoli,American,Cheese,,http://www.thecookierookie.com/parmesan-broccoli/
Side,4,165,2,14,6,Simple Tomato Cucumber Salad,Mediterranean,None,,https://www.budgetbytes.com/2015/08/simple-tomato-cucumber-salad/
Soup,4,359,24,17,28,Brazilian Shrimp Soup,South American,Shrimp,,http://www.jocooks.com/soups/brazilian-shrimp-soup/
Soup,4,360,19,12,46,Chicken Parmesan Soup,Italian,Chicken breast,,https://www.chelseasmessyapron.com/20-minute-chicken-parmesan-soup/
Soup,4,233,20,1,39,Chicken Spinach Soup,American,Chicken breast,,http://joyinmykitchen.blogspot.com/2010/02/chicken-spinach-soup.html#.VjpGXcqspgM
Soup,4,444,32,20,34,Chipotle-Spiced Beef and Bean Chili,Mexican,Ground beef,,http://allrecipes.com/recipe/13274/ten-minute-chipotle-spiced-beef-and-bean-chili/
Soup,4,171,12,10,8,Creamy Garlic Mushroom Soup,American,None,,https://www.budgetbytes.com/2017/09/creamy-garlic-mushroom-soup/
Soup,4,424,25,10,72,Creamy Three-Bean Stew,Italian,Beans,,https://www.amuse-your-bouche.com/creamy-three-bean-stew/
Soup,4,256,5,16,20,Curried Cauliflower Soup,Asian,None,Don't skimp on the cilantro!,https://cookieandkate.com/2013/curried-cauliflower-soup/
Soup,4,426,13,6,83,Curry Soup with Lentils and Potato,Indian,Lentils,Large volume of portions,https://minimalistbaker.com/curried-potato-lentil-soup-1-pot/
Soup,4,356,10,10,56,Italian Orzo Spinach Soup,Italian,None,,https://www.gimmesomeoven.com/italian-orzo-spinach-soup-recipe/
Soup,4,236,14,12,17,Italian Sausage Soup,Italian,"Eggs, sausage",,http://www.myrecipes.com/recipe/italian-sausage-soup
Soup,4,345,11,13,46,Loaded Potato Soup,American,Cheese,,http://www.handletheheat.com/light-loaded-potato-soup/
Soup,4,381,13,14,53,"Potato, Leek, and Corn Chowder",Southern,None,,http://www.myrecipes.com/recipe/potato-corn-leek-chowder
Soup,4,366,12,14,51,Roasted Red Pepper and Garlic Soup,Mediterranean,None,,https://www.lazycatkitchen.com/roasted-red-pepper-garlic-soup/
Soup,4,339,25,5,47,Sausage and Kale Cassoulet,European,Sausage,,http://www.budgetbytes.com/2012/12/sausage-kale-cassoulet/
Soup,4,372,41,10,29,Slow Cooker Beef and Pepper Soup,American,Beef,,https://paleoleap.com/slow-cooker-beef-pepper-soup/
Soup,4,306,6,21,25,Thai Coconut Curry Butternut Squash Soup,Asian,None,,http://hostthetoast.com/thai-coconut-curry-butternut-squash-soup/
Soup,4,225,3,7,38,Thai Coconut Soup,Asian,None,,https://choosingchia.com/northern-style-vegan-thai-coconut-soup/
Soup,4,368,4,23,35,Thai Curry Vegetable Soup,Asian,None,,http://www.budgetbytes.com/2016/03/thai-curry-vegetable-soup/
Soup,4,340,30,17,11,Thai Meatball and Egg Drop Soup,Asian,Ground turkey,,https://www.asaucykitchen.com/thai-meatball-and-egg-drop-soup/
